UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Equid gammaherpesvirus 2,NA,Equid gammaherpesvirus 2,Perissodactyla,NC_001650.2,1
Equid gammaherpesvirus 5,NA,Equid gammaherpesvirus 5,Perissodactyla,NC_026421.1,1
Equid gammaherpesvirus 7,NA,Equid gammaherpesvirus 7,Perissodactyla,NA,NA
Equine arteritis virus,NA,Alphaarterivirus equid,Perissodactyla,NC_002532.2,1
Equine encephalosis virus,NA,Equine encephalosis virus,Perissodactyla,FJ183384.1; FJ183385.1; FJ183386.1; FJ183387.1; FJ183388.1; FJ183389.1; FJ183390.1; FJ183391.1; FJ183392.1; FJ183393.1,1
Equine foamy virus,NA,Equine foamy virus,Perissodactyla,NC_002201.1,1
Equine hepacivirus,Equine hepacivirus JPN3/JAPAN/2013,Equine hepacivirus,Perissodactyla,NC_024889.1,1
Equine infectious anemia virus,NA,Equine infectious anemia virus,Perissodactyla,NC_001450.1,1
Equine mastadenovirus A,NA,Equine mastadenovirus A,Perissodactyla,NC_030792.1,1
Equine mastadenovirus B,NA,Equine mastadenovirus B,Perissodactyla,NC_027705.1,1
Equine rhinitis A virus,NA,Equine rhinitis A virus,Perissodactyla,NC_003982.1,1
Equine torovirus,NA,Equine torovirus,Perissodactyla,MG996765.1,1
Erbovirus A,NA,Erbovirus A,Perissodactyla,NC_003983.1,1
Eubenangee virus,NA,Eubenangee virus,NA,JQ070376.1; JQ070377.1; JQ070378.1; JQ070379.1; JQ070380.1; JQ070381.1; JQ070382.1; JQ070383.1; JQ070384.1; JQ070385.1,1
European bat 1 lyssavirus,European bat lyssavirus 1,European bat 1 lyssavirus,Vespbat,NC_009527.1,1
European bat 2 lyssavirus,European bat lyssavirus 2,European bat 2 lyssavirus,Vespbat,NC_009528.2,1
European brown hare syndrome virus,European brown hare syndrome virus,European brown hare syndrome virus,Lagomorph,NC_002615.1,1
Everglades virus,NA,Everglades virus,Rodent,AF075251.1,1
Eyach virus,NA,Eyach virus,Orphan,NC_003696.1; NC_003697.1; NC_003698.1; NC_003699.1; NC_003700.1; NC_003701.1; NC_003702.1; NC_003703.1; NC_003704.1; NC_003705.1; NC_003706.1; NC_003707.1,1
Farmington virus,Farmington virus,Farmington virus,Orphan,NC_025253.1,1
Felid alphaherpesvirus 1,NA,Felid alphaherpesvirus 1,Carnivore,NC_013590.2,1
Feline astrovirus 2,Feline astrovirus 2,Feline astrovirus 2,Carnivore,NC_022249.1,1
Feline calicivirus,Feline calicivirus,Feline calicivirus,Carnivore,NC_001481.2,1
Feline foamy virus,NA,Feline foamy virus,Carnivore,NC_001871.1,1
Feline immunodeficiency virus,NA,Feline immunodeficiency virus,Carnivore,NC_001482.1,1
Feline leukemia virus,NA,Feline leukemia virus,Carnivore,NC_001940.1,1
Feline morbillivirus,Feline morbillivirus,Feline morbillivirus,Carnivore,NC_025264.1,1
Feline picornavirus,Feline picornavirus,Feline picornavirus,Carnivore,NC_016156.1,1
Ferak orthoferavirus,Ferak virus,Ferak feravirus,Insect,KP710246.1; KP710264.1; KP710267.1,1
Ferret kobuvirus,Ferret kobuvirus,Ferret kobuvirus,Carnivore,KF006985.1,1
Fikirini ledantevirus,Fikirini bat rhabdovirus,Fikirini ledantevirus,Pterobat,NC_025341.1,1
Flexal mammarenavirus,Flexal virus,Flexal mammarenavirus,Rodent,NC_010759.1; NC_010757.1,1
Foot-and-mouth disease virus,Foot-and-mouth disease virus - type O,Foot-and-mouth disease virus,Artiodactyl,NC_004004.1,1
Fort Morgan virus,Fort Morgan virus,Fort Morgan virus,Passeriformes,NC_013528.1,1
Gairo mammarenavirus,Gairo virus,Gairo mammarenavirus,Rodent,NC_026247.1; NC_026246.1,1
Gallivirus Pf-CHK1/GV,Gallivirus Pf-CHK1/GV,Gallivirus Pf-CHK1/GV,Orphan,NC_028964.1,1
Gammapapillomavirus 1,Human papillomavirus 4,Gammapapillomavirus 1,Human,NC_001457.1,1
Gammapapillomavirus 2,NA,Gammapapillomavirus 2,Human,NC_001690.1,1
Gammapapillomavirus 3,NA,Gammapapillomavirus 3,Human,NC_001691.1,1
Gammapapillomavirus 4,NA,Gammapapillomavirus 4,Human,NC_001693.1,1
Gammapapillomavirus 5,NA,Gammapapillomavirus 5,Human,NC_010329.1,1
Gbagroube virus,Gbagroube virus,Gbagroube virus,Rodent,GU830848.1,0
Getah virus,Getah virus,Getah virus,Orphan,NC_006558.1,1
Ghanaian bat henipavirus,Bat Paramyxovirus Eid_hel,Ghanaian bat henipavirus,Pterobat,NC_025256.1,1
Gibbon ape leukemia virus,NA,Gibbon ape leukemia virus,NonHumanPrimate,KT724048.1,1
Goatpox virus,NA,Goatpox virus,Artiodactyl,NC_004003.1,1
Alethinophid 1 reptarenavirus,Golden Gate virus,Golden reptarenavirus,Reptile,NC_018482.1; NC_018483.1,1
Goose astrovirus,Goose astrovirus,Goose astrovirus,Orphan,NC_034567.1,1
Goose calicivirus,Goose calicivirus,Goose calicivirus,Orphan,NC_024078.1,1
Goose paramyxovirus SF02,Goose paramyxovirus SF02,Goose paramyxovirus SF02,NA,NC_005036.1,1
Gorilline gammaherpesvirus 1,NA,Gorilline gammaherpesvirus 1,NonHumanPrimate,AJ581752.1,0
Gouleako goukovirus,Gouleako virus,Gouleako goukovirus,Insect,HQ541738.1; HQ541737.1; HQ541736.1,1
Great Island virus,NA,Great Island virus,Charadriiformes,NC_014522.1; NC_014523.1; NC_014524.1; NC_014525.1; NC_014526.1; NC_014527.1; NC_014528.1; NC_014529.1; NC_014530.1; NC_014531.1,1
Ground squirrel hepatitis virus,NA,Ground squirrel hepatitis virus,Rodent,NC_001484.1,1
Groundnut bud necrosis orthotospovirus,Groundnut bud necrosis virus,Groundnut bud necrosis tospovirus,Plant,NC_003614.1; NC_003620.1; NC_003619.1,1
Guama orthobunyavirus,NA,Guama orthobunyavirus,NA,KP792666.1; KP792665.1; KP792664.1,1
Guanarito mammarenavirus,Guanarito virus,Guanarito mammarenavirus,Rodent,NC_005082.1; NC_005077.1,1
Guaroa orthobunyavirus,NA,Guaroa orthobunyavirus,Orphan,NC_034487.1; NC_034506.1; NC_034486.1,1
Guinea pig type-C oncovirus,NA,Guinea pig type-C oncovirus,NA,NA,NA
Hantaan orthohantavirus,Hantaan virus,Hantaan orthohantavirus,Rodent,NC_005218.1,1
Hare fibroma virus,NA,Hare fibroma virus,Lagomorph,NA,NA
Harkavirus A,Falcovirus A1,Harkavirus A,Orphan,NC_026921.1,1
Heartland virus,Heartland virus,Heartland virus,Orphan,NC_024495.1; NC_024494.1; NC_024496.1,1
Hedgehog coronavirus 1,Betacoronavirus Erinaceus,Hedgehog coronavirus 1,Erinaceidae,NC_022643.1,1
Hendra henipavirus,Hendra virus,Hendra henipavirus,Pterobat,NC_001906.3,1
Hepacivirus C,Hepatitis C virus,Hepacivirus C,Human,NC_004102.1,1
Hepatitis B virus,Hepatitis B virus genotype A,Hepatitis B virus,Human,AJ344115.1,1
Hepatitis delta virus,NA,Hepatitis delta virus,Human,NC_001653.2,1
Hepatovirus A,Hepatitis A virus (wild type),Hepatovirus A,Human,NC_001489,1
Hepatovirus B,Phopivirus,Hepatovirus B,Carnivore,NC_027818.1,1
Herbert herbevirus,Herbert virus,Herbert herbevirus,Insect,JQ659256.1; JQ659257.1; JQ659258.1,1
Highlands J virus,Highlands J virus,Highlands J virus,Passeriformes,NC_012561.1,1
Hippotragine gammaherpesvirus 1,NA,Hippotragine gammaherpesvirus 1,Artiodactyl,NA,NA
Hirame novirhabdovirus,Hirame rhabdovirus,Hirame novirhabdovirus,Fish,NC_005093.1,1
HMO Astrovirus A,HMO Astrovirus A,HMO Astrovirus A,Human,NC_013443.1,1
Human alphaherpesvirus 1,NA,Human alphaherpesvirus 1,Human,NC_001806.2,1
Human alphaherpesvirus 2,NA,Human alphaherpesvirus 2,Human,NC_001798.2,1
Human alphaherpesvirus 3,NA,Human alphaherpesvirus 3,Human,NC_001348.1,1
Human betaherpesvirus 5,NA,Human betaherpesvirus 5,Human,NC_006273.2,1
Human betaherpesvirus 7,NA,Human betaherpesvirus 7,Human,NC_001716.2,1
Human coronavirus 229E,Camel alphacoronavirus,Human coronavirus 229E,Human,NC_002645.1,1
Human coronavirus HKU1,Human coronavirus HKU1,Human coronavirus HKU1,Human,NC_006577.2,1
Human coronavirus NL63,Human coronavirus NL63,Human coronavirus NL63,Human,NC_005831.2,1
Human gammaherpesvirus 4,NA,Human gammaherpesvirus 4,Human,NC_007605.1,1
Human gammaherpesvirus 8,NA,Human gammaherpesvirus 8,Human,NC_009333.1,1
Human immunodeficiency virus 1,NA,Human immunodeficiency virus 1,Human,NC_001802.1,1
Human immunodeficiency virus 2,NA,Human immunodeficiency virus 2,Human,NC_001722.1,1
Human mastadenovirus A,NA,Human mastadenovirus A,Human,AC_000005.1,1
Human mastadenovirus B,Human adenovirus 35,Human mastadenovirus B,Human,AC_000019.1,1
Human mastadenovirus C,Human adenovirus 1,Human mastadenovirus C,Human,AC_000017.1,1
Human mastadenovirus D,NA,Human mastadenovirus D,Human,NC_010956.1,1
Human mastadenovirus E,Human adenovirus 4,Human mastadenovirus E,Human,NC_003266.2,1
Human mastadenovirus F,NA,Human mastadenovirus F,Human,NC_001454.1,1
Human metapneumovirus,Human metapneumovirus,Human metapneumovirus,Human,NC_004148.2,1
Human orthopneumovirus,Human respiratory syncytial virus,Human orthopneumovirus,Human,NC_001781.1,1
Human picobirnavirus,NA,Human picobirnavirus,Orphan,NC_007026.1; NC_007027.1,1
Human polyomavirus 1,NA,Human polyomavirus 1,Human,NC_001538.1,1
Human polyomavirus 2,NA,Human polyomavirus 2,Human,NC_001699.1,1
Human respirovirus 1,Human parainfluenza virus 1,Human respirovirus 1,Human,NC_003461.1,1
Human respirovirus 3,Human parainfluenza virus 3,Human respirovirus 3,Human,NC_001796.2,1
Human rubulavirus 2,Human parainfluenza virus 2,Human orthorubulavirus 2,Human,NC_003443.1,1
Human rubulavirus 4,NA,Human orthorubulavirus 4,Human,NC_021928.1,1
Human torovirus,NA,Human torovirus,Human,NA,NA
Ia io picornavirus 1,Ia io picornavirus 1,Ia io picornavirus 1,Vespbat,JQ814852.1,1
Ikoma lyssavirus,Ikoma lyssavirus,Ikoma lyssavirus,Orphan,NC_018629.1,1
Ilheus virus,Ilheus virus,Ilheus virus,Orphan,NC_009028.2,1
Impatiens necrotic spot orthotospovirus,Impatiens necrotic spot virus,Impatiens necrotic spot tospovirus,Plant,NC_003625.1; NC_003616.1; NC_003624.1,1
Indiana vesiculovirus,Vesicular stomatitis Indiana virus,Indiana vesiculovirus,Artiodactyl,NC_038236.1,1
Influenza A virus,A/Alabama/01/2017(H3N2),Influenza A virus,Human,CY216614.1; CY216615.1; CY216616.1; CY216617.1; CY216618.1; CY216619.1; CY216620.1; CY216621.1,1
Influenza B virus,B/Alaska/06/2018,Influenza B virus,Human,MH245265.1; MH245264.1; MH245263.1; MH245262.1; MH245261.1; MH245260.1; MH245259.1; MH245258.1,1
Influenza C virus,C/Victoria/2/2012,Influenza C virus,Human,KM504277.1; KM504278.1; KM504279.1; KM504280.1; KM504281.1; KM504282.1; KM504283.1,1
Iotapapillomavirus 1,NA,Iotapapillomavirus 1,Rodent,NC_001605.1,1
Ippy mammarenavirus,Ippy virus,Ippy mammarenavirus,Rodent,NC_007906.1; NC_007905.1,1
Irkut lyssavirus,Irkut virus,Irkut lyssavirus,Vespbat,NC_020809.1,1
Isfahan vesiculovirus,Isfahan virus,Isfahan vesiculovirus,Rodent,NC_020806.1,1
J-virus,J-virus,J-virus,Rodent,NC_007454.1,1
Jaagsiekte sheep retrovirus,NA,Jaagsiekte sheep retrovirus,Artiodactyl,NC_001494.1,1
Japanese encephalitis virus,Japanese encephalitis virus,Japanese encephalitis virus,Artiodactyl,GQ902058.1,1
Jonchet orthojonvirus,Jonchet virus,Jonchet jonvirus,Insect,KP710232.1; KP710240.1; KP710243.1,1
Jugra virus,NA,Jugra virus,Orphan,NC_033699.1,1
Junín mammarenavirus,Junin arenavirus,Argentinian mammarenavirus,Rodent,NC_005080.1; NC_005081.1,1
Jurona vesiculovirus,Jurona virus,Jurona vesiculovirus,Orphan,NC_025392.1,1
Jutiapa virus,Jutiapa virus,Jutiapa virus,Rodent,NC_026620.1,1
Kaeng Khoi orthobunyavirus,NA,Kaeng Khoi orthobunyavirus,Orphan,NC_034499.1; NC_034500.1; NC_034501.1,1
Kairi orthobunyavirus,NA,Kairi orthobunyavirus,Orphan,KR260738.1; KR260739.1; KR260740.1,1
Kama virus,Kama virus,Kama virus,Orphan,NC_023439.1,1
Kamiti River virus,Kamiti River virus,Kamiti River virus,Insect,NC_005064.1,1
Kappapapillomavirus 1,NA,Kappapapillomavirus 1,Lagomorph,NC_002232.1,1
Kappapapillomavirus 2,NA,Kappapapillomavirus 2,Lagomorph,NC_001541.1,1
Kasokero orthonairovirus,NA,Kasokero orthonairovirus,Pterobat,NC_036636.1; NC_029933.1; NC_029932.1,1
Kedougou virus,Kedougou virus,Kedougou virus,Orphan,NC_012533.1,1
Kern Canyon ledantevirus,NA,Kern Canyon ledantevirus,Vespbat,NC_034451.1,1
Keuraliba ledantevirus,NA,Keuraliba ledantevirus,Rodent,NC_034540.1,1
Khabarovsk orthohantavirus,NA,Khabarovsk orthohantavirus,Rodent,NC_034519.1; NC_034518.1; NC_034527.1,1
Khujand lyssavirus,Khujand virus,Khujand lyssavirus,Vespbat,NC_025385.1,1
Kimberley ephemerovirus,Kimberley virus,Kimberley ephemerovirus,Artiodactyl,NC_025396.1,1
Kokobera virus,Kokobera virus,Kokobera virus,Diprotodontia,NC_032088.1,1
Kolente ledantevirus,Kolente virus,Kolente ledantevirus,Orphan,NC_025342.1,1
Koongol orthobunyavirus,NA,Koongol orthobunyavirus,NA,KP792669.1; KP792668.1; KP792667.1,1
Kotonkan ephemerovirus,Kotonkan virus,Kotonkan ephemerovirus,Orphan,NC_017714.1,1
Koutango virus,NA,Koutango virus,Rodent,EU082200.2,1
Kyasanur Forest disease virus,Kyasanur forest disease virus,Kyasanur Forest disease virus,NonHumanPrimate,JF416960.1,1
Lactate dehydrogenase-elevating virus,NA,Gammaarterivirus lacdeh,Rodent,NC_001639.1,1
Lagos bat lyssavirus,Lagos bat virus,Lagos bat lyssavirus,Pterobat,NC_020807.1,1
Laguna Negra orthohantavirus,NA,Laguna Negra orthohantavirus,Rodent,AF005728.1; AF005727.1,0
Lambdapapillomavirus 1,NA,Lambdapapillomavirus 1,Carnivore,NC_004765.1,1
Lambdapapillomavirus 2,NA,Lambdapapillomavirus 2,Carnivore,NC_001619.1,1
Langat virus,Langat virus,Langat virus,Orphan,NC_003690.1,1
Langur virus,NA,Langur virus,NonHumanPrimate,NA,NA
Lassa mammarenavirus,Lassa virus,Lassa mammarenavirus,Rodent,NC_004297.1; NC_004296.1,1
Latino mammarenavirus,Latino virus,Latino mammarenavirus,Rodent,NC_010760.1; NC_010758.1,1
Lebombo virus,NA,Lebombo virus,Orphan,JQ610665.1; JQ610666.1; JQ610667.1; JQ610668.1; JQ610669.1; JQ610670.1; JQ610671.1; JQ610672.1; JQ610673.1; JQ610674.1,1
Leopards Hill virus,Leopards Hill virus,Leopards Hill virus,Pterobat,NC_025831.1; NC_025832.1; NC_025833.1,1
Lesavirus 1,Lesavirus 1,Lesavirus 1,NonHumanPrimate,NC_026315.1,1
Lesavirus 2,Lesavirus 2,Lesavirus 2,NonHumanPrimate,NC_026316.1,1
Lettuce necrotic yellows cytorhabdovirus,Lettuce necrotic yellows virus,Lettuce necrotic yellows cytorhabdovirus,Plant,NC_007642.1,1
Lettuce yellow mottle cytorhabdovirus,Lettuce yellow mottle virus,Lettuce yellow mottle cytorhabdovirus,Plant,NC_011532.1,1
Limnipivirus C,Fathead minnow picornavirus,Limnipivirus C,Fish,NC_023437.1,1
Lloviu cuevavirus,Lloviu cuevavirus,Lloviu cuevavirus,Vespbat,NC_016144.1,1
Loei River mammarenavirus,Loie River virus,Loei River mammarenavirus,Rodent,KC669693.1; KC669698.1,1
Lone Star virus,Lone Star virus,Lone Star virus,Orphan,NC_021242.1; NC_021243.1; NC_021244.1,1
Long Island tick rhabdovirus,Long Island tick rhabdovirus,Long Island tick rhabdovirus,Orphan,NC_025340.1,1
Louping ill virus,Louping ill virus,Louping ill virus,Artiodactyl,NC_001809.1,1
Lujo mammarenavirus,Lujo virus,Lujo mammarenavirus,Rodent,NC_012777.1; NC_012776.1,1
Lumpy skin disease virus,NA,Lumpy skin disease virus,Artiodactyl,NC_003027.1,1
Luna mammarenavirus,Luna virus,Luna mammarenavirus,Rodent,NC_016153.1; NC_016152.1,1
Lunk mammarenavirus,Lunk virus NKS-1,Lunk mammarenavirus,Rodent,NC_018711.1; NC_018710.1,1
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis virus,Lymphocytic choriomeningitis mammarenavirus,Rodent,NC_004291.1; NC_004294.1,1
Lyssavirus Ozernoe,Lyssavirus Ozernoe,Lyssavirus Ozernoe,NA,NC_025408.1,1
Macaca mulatta polyomavirus 1,NA,Macaca mulatta polyomavirus 1,NonHumanPrimate,NC_001669.1,1
Macacine alphaherpesvirus 1,NA,Macacine alphaherpesvirus 1,NonHumanPrimate,NC_004812.1,1
Macacine betaherpesvirus 3,NA,Macacine betaherpesvirus 3,NonHumanPrimate,NC_006150.1,1
Macacine gammaherpesvirus 4,NA,Macacine gammaherpesvirus 4,NonHumanPrimate,NC_006146.1,1
Macacine gammaherpesvirus 5,NA,Macacine gammaherpesvirus 5,NonHumanPrimate,NC_003401.1,1
Macaque simian foamy virus,NA,Rhesus macaque simian foamy virus,NonHumanPrimate,NC_010819.1,1
Machupo mammarenavirus,Machupo virus,Machupo mammarenavirus,Rodent,NC_005079.1; NC_005078.1,1
Macropodid alphaherpesvirus 1,NA,Macropodid alphaherpesvirus 1,Macropod,NC_029132.1,1
Macropodid alphaherpesvirus 2,NA,Macropodid alphaherpesvirus 2,Macropod,AF061755.1,0
Madariaga virus,Madariaga virus,Madariaga virus,Rodent,NC_023812.1,1
Madrid orthobunyavirus,NA,Madrid orthobunyavirus,NA,NC_034497.1; NC_034505.1; NC_034498.1,1
Magpie-robin coronavirus HKU18,Magpie-robin coronavirus HKU18,Magpie-robin coronavirus HKU18,Orphan,NC_016993.1,1
Main Drain orthobunyavirus,NA,Main Drain orthobunyavirus,Lagomorph,MH484309.1; MH484310.1; MH484311.1,1
Maize fine streak nucleorhabdovirus,Maize fine streak virus,Maize fine streak nucleorhabdovirus,Plant,NC_005974.1,1
Maize Iranian mosaic nucleorhabdovirus,Maize Iranian mosaic virus,Maize Iranian mosaic nucleorhabdovirus,Plant,NC_036390.1,1
Maize mosaic nucleorhabdovirus,Maize mosaic virus,Maize mosaic nucleorhabdovirus,Plant,NC_005975.1,1
Malakal virus,Malakal virus,Malakal virus,Orphan,NC_025400.1,1
Malpais Spring vesiculovirus,Malpais Spring virus,Malpais Spring vesiculovirus,Orphan,NC_025364.1,1
Malsoor virus,Malsoor virus,Malsoor virus,Pterobat,NA,NA
Mamastrovirus 1,Mamastrovirus 1,Mamastrovirus 1,Human,NC_030922.1,1
Mamastrovirus 10,Mamastrovirus 10,Mamastrovirus 10,Carnivore,NC_004579.1,1
Mamastrovirus 13,Mamastrovirus 13,Mamastrovirus 13,Artiodactyl,NC_002469.1,1
Mamastrovirus 2,Mamastrovirus 2,Mamastrovirus 2,Carnivore,NC_024701.1,1
Mamastrovirus 3,Mamastrovirus 3,Mamastrovirus 3,Artiodactyl,NC_025379.1,1
Mamastrovirus 6,Astrovirus MLB1,Mamastrovirus 6,Human,NC_011400.1,1
Mamastrovirus 9,Astrovirus VA1,Mamastrovirus 9,Human,NC_013060.1,1
Mammalian 1 bornavirus,NA,Mammalian 1 orthobornavirus,Soricomorph,NC_001607.1,1
Mammalian orthoreovirus,NA,Mammalian orthoreovirus,MULTIPLE,NA,NA
Mammalian rubulavirus 5,Parainfluenza virus 5,Mammalian orthorubulavirus 5,Carnivore,NC_006430.1,1
Manzanilla orthobunyavirus,NA,Manzanilla orthobunyavirus,NA,NC_024076.1; NC_024074.1; NC_024075.1,1
Maprik virus,Maprik virus,Maprik virus,Orphan,NC_026281.1; NC_026283.1; NC_026282.1,1
Mapuera rubulavirus,Mapuera virus,Mapuera orthorubulavirus,Vespbat,NC_009489.1,1
Maraba vesiculovirus,Maraba virus,Maraba vesiculovirus,Orphan,NC_025255.1,1
Marburg marburgvirus,Marburg marburgvirus,Marburg marburgvirus,Pterobat,NC_001608.3,1
Marituba orthobunyavirus,NA,Marituba orthobunyavirus,Orphan,NC_034495.1; NC_034504.1; NC_034496.1,1
Mason-Pfizer monkey virus,NA,Mason-Pfizer monkey virus,NonHumanPrimate,NC_001550.1,1
Mayaro virus,Mayaro virus,Mayaro virus,Orphan,NC_003417.1,1
Measles morbillivirus,Measles virus,Measles morbillivirus,Human,NC_001498.1,1
Melon yellow spot virus,Melon yellow spot virus,Melon yellow spot virus,Plant,NC_008306.1; NC_008307.1; NC_008300.1,1
Menangle rubulavirus,Menangle virus,Menangle pararubulavirus,Pterobat,NC_007620.1,1
Menekre virus,Menekre virus,Menekre virus,Rodent,GU830862.1,0
Mercadeo virus,Mercadeo virus,Mercadeo virus,Insect,NC_027819.1,1
Merino Walk mammarenavirus,Merino Walk virus,Merino Walk mammarenavirus,Rodent,NC_023763.1; NC_023764.1,1
Mesocricetus auratus polyomavirus 1,NA,Mesocricetus auratus polyomavirus 1,Rodent,NC_001663.2,1
Middelburg virus,Middelburg virus,Middelburg virus,Orphan,NC_024887.1,1
Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome coronavirus,Middle East respiratory syndrome-related coronavirus,Orphan,NC_019843.3,1
Minatitlan orthobunyavirus,NA,Minatitlan orthobunyavirus,NA,NA,NA
Miniopterus bat coronavirus HKU8,Miniopterus bat coronavirus HKU8,Miniopterus bat coronavirus HKU8,Vespbat,NC_010438.1,1
Mink calicivirus,Mink calicivirus,Mink calicivirus,Carnivore,NC_019712.1,1
Mischivirus A,Miniopterus schreibersii picornavirus 1,Mischivirus A,Vespbat,NC_034381.1,1
Mischivirus C,African bat icavirus A,Mischivirus C,Pterobat,NC_026470.1,1
Mobala mammarenavirus,Mobala virus,Mobala mammarenavirus,Rodent,NC_007904.1; NC_007903.1,1
Modoc virus,Modoc virus,Modoc virus,Rodent,NC_003635.1,1
Mojiang henipavirus,Mojiang virus,Mojiang henipavirus,Rodent,NC_025352.1,1
Mokola lyssavirus,Mokola virus,Mokola lyssavirus,Orphan,NC_006429.1,1
Molluscum contagiosum virus,NA,Molluscum contagiosum virus,Human,NC_001731.1,1
Moloney murine sarcoma virus,NA,Moloney murine sarcoma virus,Rodent,NC_001502.1,1
Monkeypox virus,NA,Monkeypox virus,Rodent,NC_003310.1,1
Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,Vespbat,NC_004119.1,1
Mopeia mammarenavirus,Mopeia virus,Mopeia mammarenavirus,Rodent,NC_006574.1; NC_006575.1,1
Morogoro mammarenavirus,Morogoro virus,Morogoro mammarenavirus,Rodent,NC_013058.1; NC_013057.1,1
Mossman virus,Mossman virus,Mossman virus,Rodent,NC_005339.1,1
Mosso das Pedras virus,NA,Mosso das Pedras virus,Orphan,AF075257.1,1
Mount Elgon bat ledantevirus,NA,Mount Elgon bat ledantevirus,Orphan,NC_034545.1,1
Mouse astrovirus M-52/USA/2008,Mouse astrovirus M-52/USA/2008,Mouse astrovirus M-52/USA/2008,Rodent,NC_015935.1,1
Mouse mammary tumor virus,NA,Mouse mammary tumor virus,Rodent,NC_001503.1,1
Moussa virus,Moussa virus,Moussa virus,Orphan,NC_025359.1,1
Mucambo virus,NA,Mucambo virus,Rodent,AF075253.1,1
Mulberry vein banding virus,Mulberry vein banding virus,Mulberry vein banding virus,Plant,NC_026617.1; NC_026618.2; NC_026619.1,1
Mumps rubulavirus,Mumps virus,Mumps orthorubulavirus,Human,NC_002200.1,1
Munia coronavirus HKU13,Munia coronavirus HKU13,Munia coronavirus HKU13,Orphan,NC_011550.1,1
Mupapillomavirus 1,NA,Mupapillomavirus 1,Human,NC_001356.1,1
Mupapillomavirus 2,NA,Mupapillomavirus 2,Human,NC_001458.1,1
Murid betaherpesvirus 1,NA,Murid betaherpesvirus 1,Rodent,NC_004065.1,1
Murid betaherpesvirus 2,NA,Murid betaherpesvirus 2,Rodent,NC_002512.2,1
Murid gammaherpesvirus 4,NA,Murid gammaherpesvirus 4,Rodent,NC_001826.2,1
Murine astrovirus,Murine astrovirus,Murine astrovirus,Rodent,NC_018702.1,1
Murine coronavirus,Rat coronavirus,Murine coronavirus,Rodent,NC_012936.1,1
Murine leukemia virus,NA,Murine leukemia virus,Rodent,NC_001501.1,1
Murine mastadenovirus A,NA,Murine mastadenovirus A,Rodent,NC_000942.1,1
Murine mastadenovirus B,NA,Murine mastadenovirus B,Rodent,NC_014899.1,1
Murine orthopneumovirus,Murine pneumonia virus,Murine orthopneumovirus,Rodent,NC_006579.1,1
Murine respirovirus,Sendai virus,Murine respirovirus,Rodent,NC_001552.1,1
Murray Valley encephalitis virus,Murray Valley encephalitis virus,Murray Valley encephalitis virus,Pelecaniformes,NC_000943.1,1
Murrumbidgee virus,Murrumbidgee virus,Murrumbidgee virus,Orphan,NC_022595.1; NC_022596.1; NC_022597.1,1
Mus musculus polyomavirus 1,NA,Mus musculus polyomavirus 1,Rodent,NC_001515.2,1
Mus musculus polyomavirus 2,NA,Mus musculus polyomavirus 2,Rodent,NC_001505.2,1
Mustelid gammaherpesvirus 1,NA,Mustelid gammaherpesvirus 1,Carnivore,AF376034.1,0
Myxoma virus,NA,Myxoma virus,Lagomorph,NC_001132.2,1
Nariva virus,Nariva virus,Nariva virus,Rodent,NC_017937.1,1
Ndumu virus,Ndumu virus,Ndumu virus,Orphan,NC_016959.1,1
Nelson Bay orthoreovirus,Pulau reovirus,Nelson Bay orthoreovirus,Pterobat,JF342668.1; JF342666.1; JF342667.1; JF342669.1; JF342670.1; JF342671.1; AY357730.1; AY357731.1; AY357732.1; AY357733.1,1
New Jersey vesiculovirus,Vesicular stomatitis New Jersey virus,New Jersey vesiculovirus,Artiodactyl,NC_024473.1,1
Newbury-1 virus,Newbury-1 virus,Newbury 1 virus,Artiodactyl,NC_007916.1,1
Ngaingan hapavirus,Ngaingan virus,Ngaingan hapavirus,Macropod,NC_013955.1,1
Niakha sripuvirus,Niakha virus,Niakha sripuvirus,Orphan,NC_025405.1,1
Night heron coronavirus HKU19,Night-heron coronavirus HKU19,Night heron coronavirus HKU19,Orphan,NC_016994.1,1
Nipah henipavirus,Nipah virus,Nipah henipavirus,Pterobat,NC_002728.1,1
Northern cereal mosaic cytorhabdovirus,Northern cereal mosaic virus,Northern cereal mosaic cytorhabdovirus,Plant,NC_002251.1,1
Norwalk virus,Norovirus GI,Norwalk virus,Human,NC_001959.2,1
Norway rat pegivirus,Norway rat pegivirus,Norway rat pegivirus,Rodent,NC_025679.1,1
Norway rat pestivirus,Norway rat pestivirus,Norway rat pestivirus,Rodent,NC_025677.1,1
Ntaya virus,Ntaya virus,Ntaya virus,Orphan,NC_018705.3,1
Nupapillomavirus 1,NA,Nupapillomavirus 1,Human,NC_001354.1,1
Nyando orthobunyavirus,NA,Nyando orthobunyavirus,NA,NC_034492.1; NC_034491.1; NC_034481.1,1
O'nyong-nyong virus,O'nyong-nyong virus,Onyong-nyong virus,Orphan,NC_001512.1,1
Obodhiang ephemerovirus,Obodhiang virus,Obodhiang ephemerovirus,Orphan,NC_017685.1,1
